Easy4D Code;EAN Code;Designation;Category  tyre name;Brand name;Family name;Width;Height;diameter;Construction;Load index;Speed index;Segment
Z999987;6927116196394;205/80 R 16   104S   WESTLAKE   SL369 XL;AUTO;WESTLAKE;4x4 ete;205;80;16;R;104;S;Budget
Z999986;6938112602727;275/65 R 18   116T   WESTLAKE   SL369;AUTO;WESTLAKE;4x4 ete;275;65;18;R;116;T;Budget
Z999042;6419440496887;215/60 R 17   109/107R   NOKIAN   Hakkapeliitta CR4 CL;AUTO;NOKIAN;camionnette hiver;215;60;17;R;109/107;R;Premium
Z999041;6419440497488;215/60 R 17   109/107R   NOKIAN   Hakkapeliitta CR4;AUTO;NOKIAN;camionnette hiver;215;60;17;R;109/107;R;Premium
Z912677;4032344612058;245/45 R 17   95Y   GENERAL TIRE   ALTIMAX SPORT FR;AUTO;GENERAL TIRE;Tourisme ete;245;45;17;R;95;Y;Budget
Z912676;4032344612065;245/45 R 17   99Y   GENERAL TIRE   ALTIMAX SPORT FR XL;AUTO;GENERAL TIRE;Tourisme ete;245;45;17;R;99;Y;Budget
Z905600;4024068614647;215/55 R 17   94Y   UNIROYAL   RAINSPORT 3 FR   ;AUTO;UNIROYAL;Tourisme ete;215;55;17;R;94;Y;Quality
Z905599;4024068615323;235/50 R 18   97V   UNIROYAL   RAIN SPORT 3 SUV   ;AUTO;UNIROYAL;4x4 ete;235;50;18;R;97;V;Quality
Z905592;5452000495099;195 R 14   106/104P   SAVA   TRENTA;AUTO;SAVA;camionnette ete;195;;14;R;106/104;P;Budget
Z905591;8019227172102;295/25 R 21   96Y   PIRELLI   P ZERO  XL ;AUTO;PIRELLI;Tourisme ete;295;25;21;R;96;Y;Premium
Z904938;3286340708616;265/70 R 16   112T   BRIDGESTONE   DUELER A/T 694;AUTO;BRIDGESTONE;4x4 ete;265;70;16;R;112;T;Premium
Z904866;4968814843151;245/35 ZR 19   93Y   YOKOHAMA   ADVAN SPORT V105S RPB XL;AUTO;YOKOHAMA;Tourisme ete;245;35;19;ZR;93;Y;Quality
Z904864;4968814843816;225/35 R 19   88W   YOKOHAMA   ADVAN NEOVA AD08RS RPB XL;AUTO;YOKOHAMA;Tourisme competition;225;35;19;R;88;W;Quality
;4968814850845;275/35 ZR 18   95Y   YOKOHAMA   ADVAN SPORT V105S RPB XL;AUTO;YOKOHAMA;Tourisme ete;275;35;18;R;95;Y;Quality
Z900721;4019238633566;195/75 R 16   110/108R   CONTINENTAL   VANCO WINTER 2  ;AUTO;CONTINENTAL;camionnette hiver;195;75;16;R;110/108;R;Premium
Z900720;4019238414707;175/70 R 14   95/93T   CONTINENTAL   VANCO CONTACT 2   ;AUTO;CONTINENTAL;camionnette ete;175;70;14;R;95/93;T;Premium
Z900717;3188649818938;225/55 R 16   95V   DUNLOP   SPORT BLURESPONSE   ;AUTO;DUNLOP;Tourisme ete;225;55;16;R;95;V;Premium
Z900716;8019227229806;285/45 R 19   111W   PIRELLI   SCORPION VERDE * FSL XL  R-F;AUTO;PIRELLI;4x4 ete;285;45;19;R;111;W;Premium
Z900665;4019238622195;285/30 ZR 21   (100Y)   CONTINENTAL   SPORT CONTACT 5P RO1 FR ContiSilent XL ;AUTO;CONTINENTAL;Tourisme ete;285;30;21;ZR;100;Y;Premium
Z900652;3528704407088;285/35 ZR 20   104Y   MICHELIN   PILOT SPORT 3 MO XL;AUTO;MICHELIN;Tourisme ete;285;35;20;ZR;104;Y;Premium
Z900650;3528702621004;245/40 R 18   97Y   MICHELIN   PRIMACY 3 AOE XL ZP;AUTO;MICHELIN;Tourisme ete;245;40;18;R;97;Y;Premium
0637;4019238563122;315/35 R 20   110W   CONTINENTAL   SPORT CONTACT 5 * FR XL SSR;AUTO;CONTINENTAL;4x4 ete;315;35;20;R;110;W;Premium
900631;3286340688819;215/45 R 16   90V   BRIDGESTONE   BLIZZAK LM32 XL;AUTO;BRIDGESTONE;Tourisme hiver;215;45;16;R;90;V;Premium
Z900630;3286340673617;155/70 R 19   84Q   BRIDGESTONE   LM500;AUTO;BRIDGESTONE;Tourisme hiver;155;70;19;R;84;Q;Premium
0612;3528709325295;205/55 R 16   94W   BF GOODRICH   G-GRIP EL;AUTO;BF GOODRICH;Tourisme ete;205;55;16;R;94;W;Quality
